Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50,Dataset
trophozoite,support,117.0,117.0,117.0,117.0,117.0,117.0,md_2019_stages
Overall,accuracy,0.98,0.988,0.98,0.98,0.984,0.976,mp_idb_species
Overall,balanced_accuracy,0.8262,0.9045,0.8591,0.8045,0.8,0.7818,mp_idb_species
P_falciparum,precision,1.0,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_falciparum,recall,0.9956,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_falciparum,f1_score,0.9978,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_falciparum,support,227.0,227.0,227.0,227.0,227.0,227.0,mp_idb_species
P_malariae,precision,0.875,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_malariae,recall,1.0,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_malariae,f1_score,0.9333,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_malariae,support,7.0,7.0,7.0,7.0,7.0,7.0,mp_idb_species
P_ovale,precision,0.6667,0.6667,0.5,0.5,1.0,0.4,mp_idb_species
P_ovale,recall,0.4,0.8,0.8,0.4,0.2,0.4,mp_idb_species
P_ovale,f1_score,0.5,0.7273,0.6154,0.4444,0.3333,0.4,mp_idb_species
P_ovale,support,5.0,5.0,5.0,5.0,5.0,5.0,mp_idb_species
P_vivax,precision,0.7692,0.9,0.875,0.75,0.7333,0.7273,mp_idb_species
P_vivax,recall,0.9091,0.8182,0.6364,0.8182,1.0,0.7273,mp_idb_species
P_vivax,f1_score,0.8333,0.8571,0.7368,0.7826,0.8462,0.7273,mp_idb_species
P_vivax,support,11.0,11.0,11.0,11.0,11.0,11.0,mp_idb_species
Overall,accuracy,0.9398,0.9431,0.9465,0.9498,0.9431,0.9331,mp_idb_stages
Overall,balanced_accuracy,0.6597,0.591,0.6615,0.6467,0.591,0.6736,mp_idb_stages
gametocyte,precision,0.5,0.6667,0.6667,0.5,1.0,1.0,mp_idb_stages
gametocyte,recall,0.4,0.4,0.4,0.4,0.4,0.4,mp_idb_stages
gametocyte,f1_score,0.4444,0.5,0.5,0.4444,0.5714,0.5714,mp_idb_stages
gametocyte,support,5.0,5.0,5.0,5.0,5.0,5.0,mp_idb_stages
ring,precision,0.9709,0.9677,0.9676,0.9679,0.9643,0.967,mp_idb_stages
ring,recall,0.9816,0.9926,0.989,0.9963,0.9926,0.9706,mp_idb_stages
ring,f1_score,0.9762,0.98,0.9782,0.9819,0.9783,0.9688,mp_idb_stages
ring,support,272.0,272.0,272.0,272.0,272.0,272.0,mp_idb_stages
schizont,precision,0.8571,0.8,0.6667,0.8571,0.8,0.8571,mp_idb_stages
schizont,recall,0.8571,0.5714,0.8571,0.8571,0.5714,0.8571,mp_idb_stages
schizont,f1_score,0.8571,0.6667,0.75,0.8571,0.6667,0.8571,mp_idb_stages
schizont,support,7.0,7.0,7.0,7.0,7.0,7.0,mp_idb_stages
trophozoite,precision,0.4615,0.5,0.6667,0.625,0.5,0.4118,mp_idb_stages
trophozoite,recall,0.4,0.4,0.4,0.3333,0.4,0.4667,mp_idb_stages
trophozoite,f1_score,0.4286,0.4444,0.5,0.4348,0.4444,0.4375,mp_idb_stages
trophozoite,support,15.0,15.0,15.0,15.0,15.0,15.0,mp_idb_stages
