image_name,image_file,n_gt_boxes,n_pred_boxes,n_correct_matches,n_false_positives,n_false_negatives,avg_confidence,status,paper_score,recommendation,error_category,selector_type,top_n,dataset,model,total_errors,n_boxes,n_correct,n_incorrect,accuracy,conf_threshold
Trip 067 Day 2 01-12-05 Image 1_11,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 067 Day 2 01-12-05 Image 1_11.png,8.0,11.0,8.0,3.0,0.0,0.784,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 029 Day 1 22-11-05 Image 9 add_1,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 029 Day 1 22-11-05 Image 9 add_1.png,7.0,5.0,5.0,0.0,2.0,0.86,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 029 Day 1 22-11-05 Image 9 add_1,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 029 Day 1 22-11-05 Image 9 add_1.png,7.0,5.0,5.0,0.0,2.0,0.86,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 017 Day 1 19-10-05 Image 15 add_9,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 017 Day 1 19-10-05 Image 15 add_9.png,2.0,1.0,1.0,0.0,1.0,0.939,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 017 Day 1 19-10-05 Image 15 add_9,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 017 Day 1 19-10-05 Image 15 add_9.png,2.0,1.0,1.0,0.0,1.0,0.939,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 053 Day 2 19-11-05 Image 3_14,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 053 Day 2 19-11-05 Image 3_14.png,4.0,3.0,3.0,0.0,1.0,0.923,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 073 Day 2 01-12-05 Image 1_11,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 073 Day 2 01-12-05 Image 1_11.png,11.0,10.0,7.0,3.0,4.0,0.745,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo10,7.0,,,,,
Trip 073 Day 2 01-12-05 Image 1_11,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 073 Day 2 01-12-05 Image 1_11.png,11.0,10.0,7.0,3.0,4.0,0.745,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo10,7.0,,,,,
Trip 017 Day 1 19-10-05 Image 15 add_5,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 017 Day 1 19-10-05 Image 15 add_5.png,4.0,4.0,1.0,3.0,3.0,0.613,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo10,6.0,,,,,
Trip 073 Day 2 01-12-05 Image 1_8,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 073 Day 2 01-12-05 Image 1_8.png,18.0,18.0,15.0,3.0,3.0,0.824,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo10,6.0,,,,,
Trip 053 Day 2 19-11-05 Image 3_15,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 053 Day 2 19-11-05 Image 3_15.png,5.0,7.0,3.0,4.0,2.0,0.768,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo10,6.0,,,,,
Trip 802 Day 2 01-12-05 Image 5_3,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 802 Day 2 01-12-05 Image 5_3.png,1.0,1.0,1.0,0.0,0.0,0.955,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 802 Day 2 01-12-05 Image 5_3,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 802 Day 2 01-12-05 Image 5_3.png,1.0,1.0,1.0,0.0,0.0,0.955,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 038 Day 1 01-12-05 Image 26 add_16,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 038 Day 1 01-12-05 Image 26 add_16.png,2.0,2.0,2.0,0.0,0.0,0.951,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 038 Day 1 01-12-05 Image 26 add_16,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 038 Day 1 01-12-05 Image 26 add_16.png,2.0,2.0,2.0,0.0,0.0,0.951,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 053 Day 2 19-11-05 Image 2_6,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo10\Trip 053 Day 2 19-11-05 Image 2_6.png,2.0,2.0,2.0,0.0,0.0,0.951,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo10,,,,,,
Trip 804 Day 1 02-12-05 Image 3_11,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 804 Day 1 02-12-05 Image 3_11.png,3.0,6.0,3.0,3.0,0.0,0.753,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 804 Day 1 02-12-05 Image 3_11,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 804 Day 1 02-12-05 Image 3_11.png,3.0,6.0,3.0,3.0,0.0,0.753,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 029 Day 1 22-11-05 Image 9 add_13,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 029 Day 1 22-11-05 Image 9 add_13.png,2.0,5.0,2.0,3.0,0.0,0.624,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 029 Day 1 22-11-05 Image 9 add_13,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 029 Day 1 22-11-05 Image 9 add_13.png,2.0,5.0,2.0,3.0,0.0,0.624,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 067 Day 2 01-12-05 Image 1_11,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 067 Day 2 01-12-05 Image 1_11.png,8.0,10.0,8.0,2.0,0.0,0.776,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 073 Day 2 01-12-05 Image 1_10,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 073 Day 2 01-12-05 Image 1_10.png,14.0,10.0,10.0,0.0,4.0,0.702,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 073 Day 2 01-12-05 Image 1_10,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 073 Day 2 01-12-05 Image 1_10.png,14.0,10.0,10.0,0.0,4.0,0.702,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 067 Day 2 01-12-05 Image 1_3,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 067 Day 2 01-12-05 Image 1_3.png,10.0,6.0,6.0,0.0,4.0,0.878,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 067 Day 2 01-12-05 Image 1_3,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 067 Day 2 01-12-05 Image 1_3.png,10.0,6.0,6.0,0.0,4.0,0.878,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 029 Day 1 22-11-05 Image 9 add_1,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 029 Day 1 22-11-05 Image 9 add_1.png,7.0,5.0,5.0,0.0,2.0,0.8,Missing detections (FN),7,Good for paper,False Negatives (FN),detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 073 Day 2 01-12-05 Image 1_8,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 073 Day 2 01-12-05 Image 1_8.png,18.0,17.0,14.0,3.0,4.0,0.735,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo11,7.0,,,,,
Trip 073 Day 2 01-12-05 Image 1_8,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 073 Day 2 01-12-05 Image 1_8.png,18.0,17.0,14.0,3.0,4.0,0.735,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo11,7.0,,,,,
Trip 043 Day 2 24-10-05 Image 1_4,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 043 Day 2 24-10-05 Image 1_4.png,3.0,8.0,2.0,6.0,1.0,0.586,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo11,7.0,,,,,
Trip 043 Day 2 24-10-05 Image 1_4,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 043 Day 2 24-10-05 Image 1_4.png,3.0,8.0,2.0,6.0,1.0,0.586,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo11,7.0,,,,,
Trip 067 Day 2 01-12-05 Image 1_15,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 067 Day 2 01-12-05 Image 1_15.png,8.0,7.0,4.0,3.0,4.0,0.711,Mixed (FP + FN),5,Challenging case,Mixed (FP + FN),detection_error,5,md_2019_stages,yolo11,7.0,,,,,
Trip 802 Day 2 01-12-05 Image 5_14,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 802 Day 2 01-12-05 Image 5_14.png,2.0,2.0,2.0,0.0,0.0,0.916,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 802 Day 2 01-12-05 Image 5_14,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 802 Day 2 01-12-05 Image 5_14.png,2.0,2.0,2.0,0.0,0.0,0.916,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 802 Day 2 01-12-05 Image 5_3,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 802 Day 2 01-12-05 Image 5_3.png,1.0,1.0,1.0,0.0,0.0,0.913,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 802 Day 2 01-12-05 Image 5_3,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 802 Day 2 01-12-05 Image 5_3.png,1.0,1.0,1.0,0.0,0.0,0.913,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 053 Day 2 19-11-05 Image 2_16,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo11\Trip 053 Day 2 19-11-05 Image 2_16.png,4.0,4.0,4.0,0.0,0.0,0.913,Perfect,10,Best for paper,Perfect Detection,detection_error,5,md_2019_stages,yolo11,,,,,,
Trip 065 Day 2 01-12-05 Image 7_13,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo12\Trip 065 Day 2 01-12-05 Image 7_13.png,8.0,12.0,8.0,4.0,0.0,0.703,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo12,,,,,,
Trip 065 Day 2 01-12-05 Image 7_13,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo12\Trip 065 Day 2 01-12-05 Image 7_13.png,8.0,12.0,8.0,4.0,0.0,0.703,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo12,,,,,,
Trip 043 Day 2 24-10-05 Image 1_4,results\optA_20251207_233941\experiments\experiment_md_2019_stages\visualizations\pred_detection_yolo12\Trip 043 Day 2 24-10-05 Image 1_4.png,3.0,7.0,3.0,4.0,0.0,0.632,False positives (FP),3,Not recommended,False Positives (FP),detection_error,5,md_2019_stages,yolo12,,,,,,
