image_id,image_path,original_path,dataset,original_class,original_species,unified_class,unified_class_name,quality_score,original_size,processed_size,sharpness,contrast,brightness,dark_ratio,bright_ratio,unified_image_path
14,images/nih_cell_infected_C39P4thinF_original_IMG_20150622_110435_cell_99.jpg,data/raw/nih_cell/cell_images/Parasitized/C39P4thinF_original_IMG_20150622_110435_cell_99.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,85x70,640x640,3025.3185686039124,70.38054419531528,117.12638655462185,0.2596638655462185,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000014.jpg
15,images/nih_cell_infected_C39P4thinF_original_IMG_20150622_114609_cell_7.jpg,data/raw/nih_cell/cell_images/Parasitized/C39P4thinF_original_IMG_20150622_114609_cell_7.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,139x82,640x640,2733.39005845726,74.73730770244325,99.5228987541674,0.3574311282681172,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000015.jpg
16,images/nih_cell_infected_C99P60ThinF_IMG_20150918_141520_cell_103.jpg,data/raw/nih_cell/cell_images/Parasitized/C99P60ThinF_IMG_20150918_141520_cell_103.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,181x157,640x640,1831.2859554896572,78.3725554829609,86.64239715663159,0.4436076996164267,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000016.jpg
17,images/nih_cell_infected_C70P31_ThinF_IMG_20150813_131708_cell_4.jpg,data/raw/nih_cell/cell_images/Parasitized/C70P31_ThinF_IMG_20150813_131708_cell_4.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,127x121,640x640,2368.6904253095445,77.51828435535602,119.97735407041064,0.291273508166851,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000017.jpg
18,images/nih_cell_infected_C116P77ThinF_IMG_20150930_171635_cell_110.jpg,data/raw/nih_cell/cell_images/Parasitized/C116P77ThinF_IMG_20150930_171635_cell_110.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,97x124,640x640,1696.110938709799,54.46112052021038,105.42218157632192,0.2027768540073162,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000018.jpg
19,images/nih_cell_infected_C59P20thinF_IMG_20150803_112802_cell_172.jpg,data/raw/nih_cell/cell_images/Parasitized/C59P20thinF_IMG_20150803_112802_cell_172.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,139x118,640x640,2270.772055469486,62.22695090176384,112.65888306304107,0.2273503231313254,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000019.jpg
20,images/nih_cell_infected_C156P117ThinF_IMG_20151115_153831_cell_261.jpg,data/raw/nih_cell/cell_images/Parasitized/C156P117ThinF_IMG_20151115_153831_cell_261.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,127x130,640x640,2523.9932086054705,70.93358062002643,115.5580254391278,0.2643852210781344,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000020.jpg
21,images/nih_cell_infected_C100P61ThinF_IMG_20150918_145938_cell_169.jpg,data/raw/nih_cell/cell_images/Parasitized/C100P61ThinF_IMG_20150918_145938_cell_169.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,148x184,640x640,2335.887998873068,85.03061054297542,78.28363689776734,0.5396959459459459,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000021.jpg
22,images/nih_cell_infected_C182P143NThinF_IMG_20151201_171950_cell_206.jpg,data/raw/nih_cell/cell_images/Parasitized/C182P143NThinF_IMG_20151201_171950_cell_206.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,127x112,640x640,2434.1126829665973,77.09259728983803,122.82431102362204,0.28072272215973,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000022.jpg
23,images/nih_cell_infected_C120P81ThinF_IMG_20151002_130150_cell_208.jpg,data/raw/nih_cell/cell_images/Parasitized/C120P81ThinF_IMG_20151002_130150_cell_208.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,148x169,640x640,2700.406463005865,84.39560697674027,111.9088837358068,0.3612665920358228,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000023.jpg
24,images/nih_cell_infected_C78P39ThinF_IMG_20150606_104106_cell_170.jpg,data/raw/nih_cell/cell_images/Parasitized/C78P39ThinF_IMG_20150606_104106_cell_170.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,109x100,640x640,2234.644559708778,69.2190802767128,95.03357798165138,0.3429357798165137,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000024.jpg
25,images/nih_cell_infected_C82P43ThinF_IMG_20150817_123824_cell_188.jpg,data/raw/nih_cell/cell_images/Parasitized/C82P43ThinF_IMG_20150817_123824_cell_188.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,127x136,640x640,2345.2464810638967,73.89654512329552,126.4595298749421,0.2495947197776748,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000025.jpg
26,images/nih_cell_infected_C68P29N_ThinF_IMG_20150819_134112_cell_116.jpg,data/raw/nih_cell/cell_images/Parasitized/C68P29N_ThinF_IMG_20150819_134112_cell_116.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,148x139,640x640,2121.73740930636,78.3719607066232,92.10655259576124,0.4172175772895197,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000026.jpg
27,images/nih_cell_infected_C136P97ThinF_IMG_20151005_143743_cell_125.jpg,data/raw/nih_cell/cell_images/Parasitized/C136P97ThinF_IMG_20151005_143743_cell_125.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,136x136,640x640,1679.7879795686442,72.37277282401327,107.86997188581314,0.3080125432525951,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000027.jpg
28,images/nih_cell_infected_C175P136NThinF_IMG_20151127_141253_cell_236.jpg,data/raw/nih_cell/cell_images/Parasitized/C175P136NThinF_IMG_20151127_141253_cell_236.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,133x148,640x640,2299.6169134254774,75.91217163043413,126.20778297094088,0.2618370249949197,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000028.jpg
29,images/nih_cell_infected_C118P79ThinF_IMG_20151002_105827_cell_136.jpg,data/raw/nih_cell/cell_images/Parasitized/C118P79ThinF_IMG_20151002_105827_cell_136.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,112x136,640x640,2356.4931631487616,72.99417306406237,100.2593881302521,0.3419117647058823,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000029.jpg
30,images/nih_cell_infected_C159P120ThinF_IMG_20151115_190642_cell_197.jpg,data/raw/nih_cell/cell_images/Parasitized/C159P120ThinF_IMG_20151115_190642_cell_197.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,118x136,640x640,2369.57936459813,68.0308006783202,107.21261216350948,0.2779785643070788,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000030.jpg
31,images/nih_cell_infected_C117P78ThinF_IMG_20150930_221927_cell_84.jpg,data/raw/nih_cell/cell_images/Parasitized/C117P78ThinF_IMG_20150930_221927_cell_84.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,124x124,640x640,2307.8369272962864,75.479592182498,124.9588969823101,0.2661290322580645,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000031.jpg
32,images/nih_cell_infected_C136P97ThinF_IMG_20151005_142627_cell_12.jpg,data/raw/nih_cell/cell_images/Parasitized/C136P97ThinF_IMG_20151005_142627_cell_12.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,121x124,640x640,2350.636095601557,71.09372032498352,115.14436150359904,0.273327112769928,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000032.jpg
33,images/nih_cell_infected_C136P97ThinF_IMG_20151005_141946_cell_102.jpg,data/raw/nih_cell/cell_images/Parasitized/C136P97ThinF_IMG_20151005_141946_cell_102.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,154x151,640x640,1854.4212885477436,79.18910902985868,70.67915197385396,0.5540982196611336,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000033.jpg
34,images/nih_cell_infected_C113P74ThinF_IMG_20150930_135904_cell_186.jpg,data/raw/nih_cell/cell_images/Parasitized/C113P74ThinF_IMG_20150930_135904_cell_186.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,154x112,640x640,2506.3518526811263,78.89454170510088,117.74263682745826,0.3066442486085343,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000034.jpg
35,images/nih_cell_infected_C39P4thinF_original_IMG_20150622_111942_cell_23.jpg,data/raw/nih_cell/cell_images/Parasitized/C39P4thinF_original_IMG_20150622_111942_cell_23.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,154x118,640x640,2128.3668725754765,78.14925775165372,109.27850539291217,0.336781862205591,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000035.jpg
36,images/nih_cell_infected_C144P105ThinF_IMG_20151015_163432_cell_309.jpg,data/raw/nih_cell/cell_images/Parasitized/C144P105ThinF_IMG_20151015_163432_cell_309.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,142x112,640x640,2206.5246000493657,72.79603240562973,125.057092555332,0.2488053319919517,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000036.jpg
37,images/nih_cell_infected_C182P143NThinF_IMG_20151201_172524_cell_167.jpg,data/raw/nih_cell/cell_images/Parasitized/C182P143NThinF_IMG_20151201_172524_cell_167.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,115x118,640x640,2370.699088945716,75.33825745768696,136.4451731761238,0.2292557111274871,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000037.jpg
38,images/nih_cell_infected_C182P143NThinF_IMG_20151201_172759_cell_29.jpg,data/raw/nih_cell/cell_images/Parasitized/C182P143NThinF_IMG_20151201_172759_cell_29.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,118x115,640x640,2302.653267883064,70.61382049442471,119.7240972733972,0.2546794399410464,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000038.jpg
39,images/nih_cell_infected_C116P77ThinF_IMG_20150930_171558_cell_107.jpg,data/raw/nih_cell/cell_images/Parasitized/C116P77ThinF_IMG_20150930_171558_cell_107.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,124x130,640x640,2384.247466084854,63.29721126438353,117.00434243176178,0.2218362282878412,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000039.jpg
40,images/nih_cell_infected_C39P4thinF_original_IMG_20150622_113446_cell_7.jpg,data/raw/nih_cell/cell_images/Parasitized/C39P4thinF_original_IMG_20150622_113446_cell_7.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,109x130,640x640,2677.687569307865,77.99082945088675,93.042413549753,0.4079745942131263,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000040.jpg
41,images/nih_cell_infected_C99P60ThinF_IMG_20150918_142334_cell_40.jpg,data/raw/nih_cell/cell_images/Parasitized/C99P60ThinF_IMG_20150918_142334_cell_40.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,139x160,640x640,1920.2843461777345,72.2450784352949,113.81848021582734,0.2803057553956835,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000041.jpg
42,images/nih_cell_infected_C182P143NThinF_IMG_20151201_172216_cell_138.jpg,data/raw/nih_cell/cell_images/Parasitized/C182P143NThinF_IMG_20151201_172216_cell_138.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,109x115,640x640,2992.9924386206058,76.6865629881419,116.4001595532509,0.2986836856800957,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000042.jpg
43,images/nih_cell_infected_C188P149ThinF_IMG_20151203_135433_cell_177.jpg,data/raw/nih_cell/cell_images/Parasitized/C188P149ThinF_IMG_20151203_135433_cell_177.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,133x139,640x640,2191.699508582648,75.67488659239729,121.70595553632282,0.2768431871044517,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000043.jpg
44,images/nih_cell_infected_C48P9thinF_IMG_20150721_164129_cell_23.jpg,data/raw/nih_cell/cell_images/Parasitized/C48P9thinF_IMG_20150721_164129_cell_23.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,139x139,640x640,2366.8868517299425,82.08180579134725,91.65219191553231,0.4420578644997671,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000044.jpg
45,images/nih_cell_infected_C67P28N_ThinF_IMG_20150819_133000_cell_167.jpg,data/raw/nih_cell/cell_images/Parasitized/C67P28N_ThinF_IMG_20150819_133000_cell_167.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,106x124,640x640,2237.608017205548,71.60105172814025,110.64219415702982,0.2935179549604382,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000045.jpg
46,images/nih_cell_infected_C136P97ThinF_IMG_20151005_141321_cell_104.jpg,data/raw/nih_cell/cell_images/Parasitized/C136P97ThinF_IMG_20151005_141321_cell_104.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,106x130,640x640,1832.2830752958048,67.78785181421988,111.74593613933236,0.2658200290275762,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000046.jpg
47,images/nih_cell_infected_C100P61ThinF_IMG_20150918_144823_cell_161.jpg,data/raw/nih_cell/cell_images/Parasitized/C100P61ThinF_IMG_20150918_144823_cell_161.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,127x145,640x640,2650.191402554125,81.66326840986275,105.50844420309532,0.3675264729839804,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000047.jpg
48,images/nih_cell_infected_C142P103ThinF_IMG_20151005_222440_cell_179.jpg,data/raw/nih_cell/cell_images/Parasitized/C142P103ThinF_IMG_20151005_222440_cell_179.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,133x124,640x640,1956.0597263248017,70.17310012482056,119.68384671355808,0.2528498666019888,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000048.jpg
49,images/nih_cell_infected_C184P145ThinF_IMG_20151203_103637_cell_154.jpg,data/raw/nih_cell/cell_images/Parasitized/C184P145ThinF_IMG_20151203_103637_cell_154.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,115x154,640x640,1948.8293336587549,62.69815983582898,101.16764539808018,0.2679841897233201,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000049.jpg
50,images/nih_cell_infected_C180P141NThinF_IMG_20151201_163702_cell_194.jpg,data/raw/nih_cell/cell_images/Parasitized/C180P141NThinF_IMG_20151201_163702_cell_194.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,130x163,640x640,2005.612583426296,81.6459434865825,113.0617272298254,0.3406323737612081,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000050.jpg
51,images/nih_cell_infected_C119P80ThinF_IMG_20151002_123043_cell_154.jpg,data/raw/nih_cell/cell_images/Parasitized/C119P80ThinF_IMG_20151002_123043_cell_154.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,118x142,640x640,2142.3549618067213,63.77826877549504,127.44258772976843,0.1933635712580568,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000051.jpg
52,images/nih_cell_infected_C117P78ThinF_IMG_20150930_221927_cell_79.jpg,data/raw/nih_cell/cell_images/Parasitized/C117P78ThinF_IMG_20150930_221927_cell_79.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,154x163,640x640,2130.551982176127,74.39655892315052,123.72647597800972,0.2629272567922874,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000052.jpg
53,images/nih_cell_infected_C68P29N_ThinF_IMG_20150819_134504_cell_164.jpg,data/raw/nih_cell/cell_images/Parasitized/C68P29N_ThinF_IMG_20150819_134504_cell_164.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,154x145,640x640,1642.3146631512936,72.75065155468047,111.50653828929693,0.2962382445141066,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000053.jpg
54,images/nih_cell_infected_C68P29N_ThinF_IMG_20150819_133236_cell_139.jpg,data/raw/nih_cell/cell_images/Parasitized/C68P29N_ThinF_IMG_20150819_133236_cell_139.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,88x100,640x640,2024.047254635847,65.35111384492394,101.03352272727273,0.2870454545454545,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000054.jpg
55,images/nih_cell_infected_C128P89ThinF_IMG_20151004_131632_cell_168.jpg,data/raw/nih_cell/cell_images/Parasitized/C128P89ThinF_IMG_20151004_131632_cell_168.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,148x151,640x640,2199.877124316533,72.93685751729302,119.29913191337032,0.2666010381242169,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000055.jpg
56,images/nih_cell_infected_C117P78ThinF_IMG_20150930_221048_cell_101.jpg,data/raw/nih_cell/cell_images/Parasitized/C117P78ThinF_IMG_20150930_221048_cell_101.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,130x94,640x640,2377.5459815011745,76.25967296605063,110.64975450081832,0.3181669394435352,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000056.jpg
57,images/nih_cell_infected_C89P50ThinF_IMG_20150820_163728_cell_189.jpg,data/raw/nih_cell/cell_images/Parasitized/C89P50ThinF_IMG_20150820_163728_cell_189.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,145x160,640x640,2360.8295490320306,75.1174539106289,94.33913793103449,0.3821120689655172,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000057.jpg
58,images/nih_cell_infected_C81P42ThinF_IMG_20150817_115942_cell_218.jpg,data/raw/nih_cell/cell_images/Parasitized/C81P42ThinF_IMG_20150817_115942_cell_218.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,178x148,640x640,2121.5180681635734,78.19436345865452,121.56923777710294,0.2895915578499848,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000058.jpg
59,images/nih_cell_infected_C188P149ThinF_IMG_20151203_134229_cell_217.jpg,data/raw/nih_cell/cell_images/Parasitized/C188P149ThinF_IMG_20151203_134229_cell_217.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,130x133,640x640,2418.0460805749294,76.39519312189253,132.47252747252747,0.2472527472527472,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000059.jpg
60,images/nih_cell_infected_C101P62ThinF_IMG_20150923_165215_cell_33.jpg,data/raw/nih_cell/cell_images/Parasitized/C101P62ThinF_IMG_20150923_165215_cell_33.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,187x220,640x640,1910.358045546362,82.50219202867633,95.00515313563442,0.4274671852211959,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000060.jpg
61,images/nih_cell_infected_C184P145ThinF_IMG_20151203_104440_cell_23.jpg,data/raw/nih_cell/cell_images/Parasitized/C184P145ThinF_IMG_20151203_104440_cell_23.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,127x145,640x640,2139.991938261737,66.78271180236821,111.76280206353516,0.2559326635894651,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000061.jpg
62,images/nih_cell_infected_C33P1thinF_IMG_20150619_121411a_cell_189.jpg,data/raw/nih_cell/cell_images/Parasitized/C33P1thinF_IMG_20150619_121411a_cell_189.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,139x133,640x640,2728.8610262794064,83.2218702319595,138.46248715313465,0.2628874344133715,0.0010818412938821,images/Mixed_infection/nih_cell_Mixed_infection_000062.jpg
63,images/nih_cell_infected_C180P141NThinF_IMG_20151201_165453_cell_34.jpg,data/raw/nih_cell/cell_images/Parasitized/C180P141NThinF_IMG_20151201_165453_cell_34.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,145x151,640x640,2151.5769875666733,76.79722441347197,131.4398264443937,0.2525234071705869,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000063.jpg
64,images/nih_cell_infected_C189P150ThinF_IMG_20151203_142224_cell_80.jpg,data/raw/nih_cell/cell_images/Parasitized/C189P150ThinF_IMG_20151203_142224_cell_80.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,112x142,640x640,2060.8210504182985,72.6125746696253,91.10557092555332,0.3844315895372233,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000064.jpg
65,images/nih_cell_infected_C81P42ThinF_IMG_20150817_115942_cell_219.jpg,data/raw/nih_cell/cell_images/Parasitized/C81P42ThinF_IMG_20150817_115942_cell_219.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,121x139,640x640,2039.578795199828,75.44613388404072,104.06290504786254,0.3374754741661216,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000065.jpg
66,images/nih_cell_infected_C133P94ThinF_IMG_20151004_154717_cell_129.jpg,data/raw/nih_cell/cell_images/Parasitized/C133P94ThinF_IMG_20151004_154717_cell_129.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,133x115,640x640,2394.9583485555563,75.56316853939629,114.23007518796992,0.3032363517489375,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000066.jpg
67,images/nih_cell_infected_C130P91ThinF_IMG_20151004_142109_cell_134.jpg,data/raw/nih_cell/cell_images/Parasitized/C130P91ThinF_IMG_20151004_142109_cell_134.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,142x166,640x640,1879.3138023091617,75.71560838174257,134.35380960461563,0.2383760393687425,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000067.jpg
68,images/nih_cell_infected_C137P98ThinF_IMG_20151005_160918_cell_64.jpg,data/raw/nih_cell/cell_images/Parasitized/C137P98ThinF_IMG_20151005_160918_cell_64.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,121x127,640x640,2132.844464090404,76.39581020751427,110.60239474197957,0.3209474848701763,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000068.jpg
69,images/nih_cell_infected_C158P119ThinF_IMG_20151115_181859_cell_204.jpg,data/raw/nih_cell/cell_images/Parasitized/C158P119ThinF_IMG_20151115_181859_cell_204.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,130x112,640x640,2464.3316612907183,69.72640260507052,117.273489010989,0.2552884615384615,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000069.jpg
