original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source,class_id
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_018.jpg,train,1.0,1679,864,1734,931,1642,833,1770,961,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_019.jpg,train,1.0,2337,836,2406,900,2307,804,2435,932,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_020.jpg,train,1.0,1142,737,1206,803,1110,706,1238,834,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_021.jpg,train,1.0,874,732,927,793,836,698,964,826,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_022.jpg,train,1.0,1027,677,1112,735,1005,642,1133,770,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_023.jpg,train,1.0,1842,664,1919,719,1816,627,1944,755,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_024.jpg,train,1.0,1170,480,1248,559,1145,455,1273,583,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_025.jpg,train,1.0,424,442,488,503,392,408,520,536,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_026.jpg,train,1.0,1498,395,1557,452,1463,359,1591,487,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_027.jpg,train,1.0,898,389,948,468,859,364,987,492,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_028.jpg,train,1.0,1712,355,1781,412,1682,319,1810,447,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_029.jpg,train,1.0,1708,293,1772,356,1676,260,1804,388,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_030.jpg,train,1.0,1585,97,1643,154,1550,61,1678,189,ground_truth,0
train/images/1707180816-0012-T_R.jpg,1707180816-0012-T_R_gt_crop_000.jpg,train,1.0,354,1630,520,1786,373,1644,501,1772,ground_truth,0
train/images/1707180816-0012-T_R.jpg,1707180816-0012-T_R_gt_crop_001.jpg,train,1.0,1478,195,1575,299,1462,183,1590,311,ground_truth,0
train/images/1708161076-0002-R.jpg,1708161076-0002-R_gt_crop_000.jpg,train,1.0,1331,556,1400,633,1301,530,1429,658,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_000.jpg,train,1.0,1408,1808,1487,1885,1383,1782,1511,1910,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_001.jpg,train,1.0,318,1429,376,1480,283,1390,411,1518,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_002.jpg,train,1.0,684,1259,758,1329,657,1230,785,1358,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_003.jpg,train,1.0,960,1175,1028,1244,930,1145,1058,1273,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_004.jpg,train,1.0,1562,1059,1635,1133,1534,1032,1662,1160,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_005.jpg,train,1.0,252,926,310,988,217,893,345,1021,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_006.jpg,train,1.0,447,907,498,962,408,870,536,998,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_007.jpg,train,1.0,2288,708,2365,779,2262,679,2390,807,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_008.jpg,train,1.0,1935,617,1983,672,1895,580,2023,708,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_009.jpg,train,1.0,2472,501,2547,568,2445,470,2573,598,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_010.jpg,train,1.0,1620,465,1689,530,1590,433,1718,561,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_011.jpg,train,1.0,1948,407,2011,466,1915,372,2043,500,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_012.jpg,train,1.0,272,244,360,370,252,243,380,371,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_013.jpg,train,1.0,1370,206,1429,268,1335,173,1463,301,ground_truth,0
train/images/1704282807-0007-R.jpg,1704282807-0007-R_gt_crop_014.jpg,train,1.0,899,69,966,153,868,47,996,175,ground_truth,0
train/images/1401080976-0008-T.jpg,1401080976-0008-T_gt_crop_000.jpg,train,1.0,1170,953,1233,1016,1137,920,1265,1048,ground_truth,0
train/images/1707180816-0005-T.jpg,1707180816-0005-T_gt_crop_000.jpg,train,1.0,1372,862,1498,981,1371,857,1499,985,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_000.jpg,train,1.0,1542,1803,1589,1841,1501,1758,1629,1886,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_001.jpg,train,1.0,538,1735,589,1795,499,1701,627,1829,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_002.jpg,train,1.0,678,1651,727,1696,638,1609,766,1737,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_003.jpg,train,1.0,2150,1651,2203,1704,2112,1613,2240,1741,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_004.jpg,train,1.0,1390,1494,1434,1541,1348,1453,1476,1581,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_005.jpg,train,1.0,1884,1009,1922,1058,1839,969,1967,1097,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_006.jpg,train,1.0,719,939,774,985,682,898,810,1026,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_007.jpg,train,1.0,1368,860,1423,904,1331,818,1459,946,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_008.jpg,train,1.0,1414,843,1456,887,1371,801,1499,929,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_009.jpg,train,1.0,1748,680,1830,753,1725,652,1853,780,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_010.jpg,train,1.0,1195,599,1228,645,1147,558,1275,686,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_011.jpg,train,1.0,1533,458,1565,493,1485,411,1613,539,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_012.jpg,train,1.0,704,332,747,375,661,289,789,417,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_013.jpg,train,1.0,1006,172,1052,215,965,129,1093,257,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_014.jpg,train,1.0,452,159,514,221,419,126,547,254,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_015.jpg,train,1.0,884,48,914,85,835,2,963,130,ground_truth,0
train/images/1701151546-0006-R_T.jpg,1701151546-0006-R_T_gt_crop_016.jpg,train,1.0,2279,1,2380,63,2265,0,2393,96,ground_truth,0
train/images/1708161076-0008-G.jpg,1708161076-0008-G_gt_crop_000.jpg,train,1.0,1345,721,1509,880,1363,736,1491,864,ground_truth,0
train/images/1709041080-0031-S.jpg,1709041080-0031-S_gt_crop_000.jpg,train,1.0,1188,705,1372,886,1216,731,1344,859,ground_truth,0
train/images/1305121398-0015-S.jpg,1305121398-0015-S_gt_crop_000.jpg,train,1.0,836,1075,970,1201,839,1074,967,1202,ground_truth,0
train/images/1709041080-0029-T.jpg,1709041080-0029-T_gt_crop_000.jpg,train,1.0,982,1120,1129,1305,991,1148,1119,1276,ground_truth,0
train/images/1305121398-0012-S.jpg,1305121398-0012-S_gt_crop_000.jpg,train,1.0,1181,926,1263,1067,1158,932,1286,1060,ground_truth,0
train/images/1408290968-0002-R.jpg,1408290968-0002-R_gt_crop_000.jpg,train,1.0,1325,892,1406,991,1301,877,1429,1005,ground_truth,0
train/images/1401063467-0010-T.jpg,1401063467-0010-T_gt_crop_000.jpg,train,1.0,1115,943,1227,1030,1107,922,1235,1050,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_000.jpg,train,1.0,512,1846,560,1923,472,1820,600,1944,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_001.jpg,train,1.0,2076,1715,2152,1784,2050,1685,2178,1813,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_002.jpg,train,1.0,611,1587,692,1656,587,1557,715,1685,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_003.jpg,train,1.0,1279,1539,1338,1615,1244,1513,1372,1641,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_004.jpg,train,1.0,1415,1338,1504,1407,1395,1308,1523,1436,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_005.jpg,train,1.0,620,1092,699,1159,595,1061,723,1189,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_006.jpg,train,1.0,439,862,503,931,407,832,535,960,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_007.jpg,train,1.0,2112,577,2170,632,2077,540,2205,668,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_008.jpg,train,1.0,671,557,734,622,638,525,766,653,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_009.jpg,train,1.0,59,430,109,492,20,397,148,525,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_010.jpg,train,1.0,2483,400,2554,451,2454,361,2582,489,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_011.jpg,train,1.0,832,312,894,371,799,277,927,405,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_012.jpg,train,1.0,2183,306,2263,363,2159,270,2287,398,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_013.jpg,train,1.0,1041,301,1102,362,1007,267,1135,395,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_014.jpg,train,1.0,893,211,955,273,860,178,988,306,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_015.jpg,train,1.0,1575,210,1640,269,1543,175,1671,303,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_016.jpg,train,1.0,1733,114,1786,178,1695,82,1823,210,ground_truth,0
train/images/1704282807-0005-R.jpg,1704282807-0005-R_gt_crop_017.jpg,train,1.0,957,32,1025,95,927,0,1055,127,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_000.jpg,train,1.0,807,1880,868,1942,773,1847,901,1944,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_001.jpg,train,1.0,506,1824,583,1903,480,1799,608,1927,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_002.jpg,train,1.0,2115,1727,2178,1799,2082,1699,2210,1827,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_003.jpg,train,1.0,1016,1705,1062,1775,975,1676,1103,1804,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_004.jpg,train,1.0,887,1512,949,1577,854,1480,982,1608,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_005.jpg,train,1.0,1760,1495,1818,1544,1725,1455,1853,1583,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_006.jpg,train,1.0,67,1471,123,1518,31,1430,159,1558,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_007.jpg,train,1.0,1563,1469,1631,1536,1533,1438,1661,1566,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_008.jpg,train,1.0,985,1431,1056,1503,956,1403,1084,1531,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_009.jpg,train,1.0,2223,1304,2261,1342,2178,1259,2306,1387,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_010.jpg,train,1.0,1524,1287,1588,1334,1492,1246,1620,1374,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_011.jpg,train,1.0,1795,1190,1853,1243,1760,1152,1888,1280,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_012.jpg,train,1.0,966,1184,1034,1239,936,1147,1064,1275,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_013.jpg,train,1.0,772,1060,831,1122,737,1027,865,1155,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_014.jpg,train,1.0,641,895,676,935,594,851,722,979,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_015.jpg,train,1.0,685,875,735,935,646,841,774,969,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_016.jpg,train,1.0,1990,732,2024,765,1943,684,2071,812,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_017.jpg,train,1.0,1295,730,1358,787,1262,694,1390,822,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_018.jpg,train,1.0,1450,704,1572,803,1447,689,1575,817,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_019.jpg,train,1.0,2060,656,2124,722,2028,625,2156,753,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_020.jpg,train,1.0,237,645,302,703,205,610,333,738,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_021.jpg,train,1.0,3,411,61,466,0,374,96,502,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_022.jpg,train,1.0,1078,275,1134,334,1042,240,1170,368,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_023.jpg,train,1.0,986,107,1059,179,958,79,1086,207,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_024.jpg,train,1.0,2156,99,2244,162,2136,66,2264,194,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_025.jpg,train,1.0,285,74,355,128,256,37,384,165,ground_truth,0
train/images/1704282807-0012-R_T.jpg,1704282807-0012-R_T_gt_crop_026.jpg,train,1.0,1963,23,2020,70,1927,0,2055,110,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_000.jpg,train,1.0,1264,1864,1325,1924,1230,1830,1358,1944,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_001.jpg,train,1.0,2327,1766,2404,1838,2301,1738,2429,1866,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_002.jpg,train,1.0,532,1621,597,1696,500,1594,628,1722,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_003.jpg,train,1.0,1120,1447,1173,1514,1082,1416,1210,1544,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_004.jpg,train,1.0,2268,1343,2341,1423,2240,1319,2368,1447,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_005.jpg,train,1.0,2206,1000,2264,1067,2171,969,2299,1097,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_006.jpg,train,1.0,1904,379,1973,448,1874,349,2002,477,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_007.jpg,train,1.0,1459,247,1525,317,1428,218,1556,346,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_008.jpg,train,1.0,484,228,541,307,448,203,576,331,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_009.jpg,train,1.0,1148,210,1204,264,1112,173,1240,301,ground_truth,0
train/images/1307210661-0009-R.jpg,1307210661-0009-R_gt_crop_010.jpg,train,1.0,1119,129,1184,187,1087,94,1215,222,ground_truth,0
train/images/1401063467-0005-T.jpg,1401063467-0005-T_gt_crop_000.jpg,train,1.0,1070,920,1141,1007,1041,899,1169,1027,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_000.jpg,train,1.0,1186,1762,1238,1817,1148,1725,1276,1853,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_001.jpg,train,1.0,2030,1722,2095,1789,1998,1691,2126,1819,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_002.jpg,train,1.0,908,1718,980,1758,880,1674,1008,1802,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_003.jpg,train,1.0,2282,1665,2348,1717,2251,1627,2379,1755,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_004.jpg,train,1.0,1581,1645,1643,1700,1548,1608,1676,1736,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_005.jpg,train,1.0,416,1613,494,1665,391,1575,519,1703,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_006.jpg,train,1.0,1593,1385,1669,1447,1567,1352,1695,1480,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_007.jpg,train,1.0,1595,1324,1646,1379,1556,1287,1684,1415,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_008.jpg,train,1.0,467,1316,520,1370,429,1279,557,1407,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_009.jpg,train,1.0,1295,1200,1371,1259,1269,1165,1397,1293,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_010.jpg,train,1.0,827,999,909,1043,804,957,932,1085,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_011.jpg,train,1.0,1758,973,1829,1035,1729,940,1857,1068,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_012.jpg,train,1.0,2479,959,2569,1043,2460,937,2588,1065,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_013.jpg,train,1.0,1194,898,1260,975,1163,872,1291,1000,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_014.jpg,train,1.0,528,878,603,950,501,850,629,978,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_015.jpg,train,1.0,2356,844,2425,901,2326,808,2454,936,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_016.jpg,train,1.0,752,678,806,725,715,637,843,765,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_017.jpg,train,1.0,955,678,1021,740,924,645,1052,773,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_018.jpg,train,1.0,922,402,966,481,880,377,1008,505,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_019.jpg,train,1.0,1180,332,1233,395,1142,299,1270,427,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_020.jpg,train,1.0,1610,276,1686,338,1584,243,1712,371,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_021.jpg,train,1.0,1826,136,1903,200,1800,104,1928,232,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_022.jpg,train,1.0,1344,111,1424,186,1320,84,1448,212,ground_truth,0
train/images/1307210661-0002-R.jpg,1307210661-0002-R_gt_crop_023.jpg,train,1.0,187,26,273,107,166,2,294,130,ground_truth,0
train/images/1708161076-0004-R.jpg,1708161076-0004-R_gt_crop_000.jpg,train,1.0,1290,795,1383,899,1272,783,1400,911,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_000.jpg,train,1.0,2294,1511,2370,1574,2268,1478,2396,1606,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_001.jpg,train,1.0,888,1165,968,1243,864,1140,992,1268,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_002.jpg,train,1.0,1157,1087,1220,1159,1124,1059,1252,1187,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_003.jpg,train,1.0,1049,975,1118,1047,1019,947,1147,1075,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_004.jpg,train,1.0,1778,952,1846,1007,1748,915,1876,1043,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_005.jpg,train,1.0,1003,944,1082,1028,978,922,1106,1050,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_006.jpg,train,1.0,1847,831,1965,910,1842,806,1970,934,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_007.jpg,train,1.0,1359,737,1420,814,1325,711,1453,839,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_008.jpg,train,1.0,1525,635,1624,729,1510,618,1638,746,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_009.jpg,train,1.0,1062,619,1145,688,1039,589,1167,717,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_010.jpg,train,1.0,2392,565,2483,648,2373,542,2501,670,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_011.jpg,train,1.0,1832,406,1896,466,1800,372,1928,500,ground_truth,0
train/images/1405022890-0001-R.jpg,1405022890-0001-R_gt_crop_012.jpg,train,1.0,695,119,764,178,665,84,793,212,ground_truth,0
train/images/1305121398-0020-S.jpg,1305121398-0020-S_gt_crop_000.jpg,train,1.0,1054,1002,1157,1105,1041,989,1169,1117,ground_truth,0
train/images/1709041080-0020-R.jpg,1709041080-0020-R_gt_crop_000.jpg,train,1.0,1267,937,1422,1056,1280,932,1408,1060,ground_truth,0
train/images/1703121298-0006-R.jpg,1703121298-0006-R_gt_crop_000.jpg,train,1.0,1418,1177,1479,1283,1384,1166,1512,1294,ground_truth,0
train/images/1703121298-0006-R.jpg,1703121298-0006-R_gt_crop_001.jpg,train,1.0,1320,535,1410,614,1301,510,1429,638,ground_truth,0
train/images/1305121398-0010-S.jpg,1305121398-0010-S_gt_crop_000.jpg,train,1.0,1197,1128,1319,1232,1194,1116,1322,1244,ground_truth,0
train/images/1704282807-0006-R.jpg,1704282807-0006-R_gt_crop_000.jpg,train,1.0,326,1771,396,1828,297,1735,425,1863,ground_truth,0
train/images/1704282807-0006-R.jpg,1704282807-0006-R_gt_crop_001.jpg,train,1.0,1069,1575,1134,1638,1037,1542,1165,1670,ground_truth,0
train/images/1704282807-0006-R.jpg,1704282807-0006-R_gt_crop_002.jpg,train,1.0,1360,1352,1413,1409,1322,1316,1450,1444,ground_truth,0
train/images/1704282807-0006-R.jpg,1704282807-0006-R_gt_crop_003.jpg,train,1.0,315,1148,375,1207,281,1113,409,1241,ground_truth,0
train/images/1704282807-0006-R.jpg,1704282807-0006-R_gt_crop_004.jpg,train,1.0,1426,1073,1477,1144,1387,1044,1515,1172,ground_truth,0
train/images/1704282807-0006-R.jpg,1704282807-0006-R_gt_crop_005.jpg,train,1.0,1361,1045,1426,1107,1329,1012,1457,1140,ground_truth,0
train/images/1704282807-0006-R.jpg,1704282807-0006-R_gt_crop_006.jpg,train,1.0,1255,913,1322,975,1224,880,1352,1008,ground_truth,0
