stage,mapped_stage,width,height,area,aspect_ratio,distance_to_annotation
Seg,schizont,86,113,6755.5,0.7610619469026548,6.800735254367722
Esch,schizont,62,71,3032.0,0.8732394366197183,6.264982043070834
LT,trophozoite,82,77,4476.0,1.0649350649350648,4.031128874149275
Esch,schizont,82,131,6938.5,0.6259541984732825,0.5
LR-ET,ring,53,42,1791.5,1.2619047619047619,0.5
Esch,schizont,53,60,2487.5,0.8833333333333333,1.8027756377319946
R,ring,28,25,560.0,1.12,2.5
DEBRIS,EXCLUDE,26,26,545.0,1.0,1.4142135623730951
Esch,schizont,92,82,5753.5,1.1219512195121952,2.23606797749979
Esch,schizont,79,70,3805.0,1.1285714285714286,4.716990566028302
Lsch,schizont,74,101,4890.5,0.7326732673267327,1.5
Esch,schizont,71,75,4347.0,0.9466666666666667,3.5355339059327378
DEBRIS,EXCLUDE,25,58,1209.0,0.43103448275862066,1.8027756377319946
Esch,schizont,78,80,4591.0,0.975,2.23606797749979
Esch,schizont,85,79,5003.5,1.0759493670886076,0.7071067811865476
Lsch,schizont,70,99,4743.0,0.7070707070707071,2.5
DEBRIS,EXCLUDE,28,21,493.5,1.3333333333333333,2.0615528128088303
Esch,schizont,94,76,4926.0,1.236842105263158,4.47213595499958
R,ring,26,26,550.5,1.0,1.4142135623730951
Esch,schizont,86,83,4854.0,1.036144578313253,1.5
Lsch,schizont,48,28,834.0,1.7142857142857142,3.605551275463989
DEBRIS,EXCLUDE,101,99,3656.0,1.02020202020202,6.670832032063167
LR-ET,ring,47,37,1260.0,1.2702702702702702,3.8078865529319543
LT,trophozoite,88,85,5081.5,1.035294117647059,0.5
R,ring,27,16,338.5,1.6875,2.5
Lsch,schizont,84,89,5308.0,0.9438202247191011,6.800735254367722
Lsch,schizont,86,100,6439.0,0.86,3.605551275463989
Esch,schizont,89,100,6018.5,0.89,2.692582403567252
Lsch,schizont,96,106,5918.5,0.9056603773584906,7.0
Esch,schizont,94,102,6540.5,0.9215686274509803,3.1622776601683795
R,ring,19,19,295.0,1.0,2.1213203435596424
Lsch,schizont,130,108,9020.5,1.2037037037037037,6.708203932499369
Esch,schizont,119,67,5182.5,1.7761194029850746,13.656500283747663
Esch,schizont,117,95,7462.5,1.231578947368421,4.743416490252569
Esch,schizont,81,93,5732.0,0.8709677419354839,3.5355339059327378
Seg,schizont,114,117,9988.5,0.9743589743589743,3.2015621187164243
Esch,schizont,110,97,7109.5,1.134020618556701,1.118033988749895
Lsch,schizont,116,103,8934.0,1.1262135922330097,6.946221994724902
Lsch,schizont,112,111,8835.5,1.009009009009009,1.8027756377319946
Esch,schizont,91,101,6941.0,0.900990099009901,1.5811388300841898
R,ring,27,24,510.5,1.125,2.5
Esch,schizont,99,108,7691.0,0.9166666666666666,2.5
R,ring,28,36,623.5,0.7777777777777778,3.0
Esch,schizont,91,88,6411.0,1.0340909090909092,0.5
Esch,schizont,89,108,7125.0,0.8240740740740741,1.8027756377319946
R,ring,32,19,495.5,1.6842105263157894,2.5
LR-ET,ring,56,44,1695.0,1.2727272727272727,3.0
LR-ET,ring,60,50,2055.0,1.2,2.23606797749979
Lsch,schizont,89,91,6042.5,0.978021978021978,3.5355339059327378
LT,trophozoite,74,74,3773.0,1.0,1.0
Lsch,schizont,82,115,6147.0,0.7130434782608696,1.118033988749895
Seg,schizont,37,78,2173.0,0.47435897435897434,1.8027756377319946
MT,trophozoite,88,73,4680.5,1.2054794520547945,1.8027756377319946
Lsch,schizont,87,93,5763.0,0.9354838709677419,0.7071067811865476
Lsch,schizont,77,86,4508.5,0.8953488372093024,3.5
Lsch,schizont,130,126,9816.5,1.0317460317460319,5.830951894845301
Seg,schizont,88,110,6456.5,0.8,3.1622776601683795
R,ring,22,26,480.0,0.8461538461538461,2.23606797749979
Lsch,schizont,92,119,7631.5,0.773109243697479,3.0413812651491097
R,ring,53,29,1055.0,1.8275862068965518,3.5355339059327378
R,ring,31,41,876.5,0.7560975609756098,1.5811388300841898
R,ring,17,20,277.0,0.85,2.5
Lsch,schizont,90,90,5508.0,1.0,2.8284271247461903
Lsch,schizont,96,86,6168.5,1.1162790697674418,3.605551275463989
R,ring,40,59,1524.0,0.6779661016949152,1.5
Lsch,schizont,83,112,6149.0,0.7410714285714286,4.716990566028302
R,ring,20,20,324.0,1.0,2.8284271247461903
Lsch,schizont,89,102,6721.0,0.8725490196078431,5.315072906367325
MT,trophozoite,77,62,3517.0,1.2419354838709677,3.3541019662496847
DEBRIS,EXCLUDE,29,29,662.0,1.0,2.9154759474226504
DEBRIS,EXCLUDE,38,45,1304.5,0.8444444444444444,1.118033988749895
R,ring,25,26,532.0,0.9615384615384616,2.5
Lsch,schizont,99,118,7958.5,0.8389830508474576,6.946221994724902
Lsch,schizont,73,108,5843.5,0.6759259259259259,1.118033988749895
MT,trophozoite,42,73,2401.0,0.5753424657534246,1.8027756377319946
MT,trophozoite,65,79,3551.5,0.8227848101265823,2.9154759474226504
R,ring,56,49,1379.5,1.1428571428571428,3.905124837953327
R,ring,52,54,1489.5,0.9629629629629629,3.1622776601683795
R,ring,27,24,479.0,1.125,2.5
DEBRIS,EXCLUDE,25,22,440.5,1.1363636363636365,2.5
DEBRIS,EXCLUDE,77,100,3603.5,0.77,0.5
R,ring,72,62,2717.0,1.1612903225806452,277.61844319137015
R,ring,59,46,1477.5,1.2826086956521738,4.031128874149275
R,ring,26,25,521.5,1.04,1.8027756377319946
R,ring,44,34,1008.5,1.2941176470588236,2.23606797749979
R,ring,24,25,493.0,0.96,1.8027756377319946
R,ring,78,57,2055.0,1.368421052631579,3.2015621187164243
Seg,schizont,120,112,9227.0,1.0714285714285714,1.0
DEBRIS,EXCLUDE,79,27,1353.5,2.925925925925926,5.70087712549569
R,ring,50,27,911.5,1.8518518518518519,3.5
DEBRIS,EXCLUDE,40,28,871.0,1.4285714285714286,2.23606797749979
R,ring,45,45,1130.0,1.0,2.5495097567963922
Seg,schizont,129,101,9726.5,1.2772277227722773,3.5355339059327378
Seg,schizont,74,111,6335.5,0.6666666666666666,5.024937810560445
Seg,schizont,91,94,6315.5,0.9680851063829787,3.3541019662496847
DEBRIS,EXCLUDE,88,98,4191.5,0.8979591836734694,10.63014581273465
R,ring,24,25,476.0,0.96,2.5
Seg,schizont,91,93,6162.0,0.978494623655914,1.5811388300841898
Lsch,schizont,25,84,1283.5,0.2976190476190476,4.6097722286464435
Seg,schizont,116,96,8113.5,1.2083333333333333,2.8284271247461903
R,ring,25,26,516.0,0.9615384615384616,1.8027756377319946
DEBRIS,EXCLUDE,43,32,1115.5,1.34375,1.8027756377319946
Seg,schizont,109,114,8584.5,0.956140350877193,3.2015621187164243
R,ring,35,40,965.5,0.875,2.0615528128088303
Seg,schizont,112,89,8030.5,1.2584269662921348,1.118033988749895
