image_name,image_file,n_gt_boxes,n_pred_boxes,n_correct_matches,n_false_positives,n_false_negatives,avg_confidence,status,paper_score,recommendation,dataset
PA171902,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171902.png,1,1,1,0,0,0.904,Perfect,10,Best for paper,iml_lifecycle
PA171898,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171898.png,1,1,1,0,0,0.911,Perfect,10,Best for paper,iml_lifecycle
PA171898,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171898.png,1,1,1,0,0,0.911,Perfect,10,Best for paper,iml_lifecycle
PA171886,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171886.png,1,1,1,0,0,0.908,Perfect,10,Best for paper,iml_lifecycle
PA171886,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171886.png,1,1,1,0,0,0.908,Perfect,10,Best for paper,iml_lifecycle
PA171878,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171878.png,3,3,3,0,0,0.9,Perfect,10,Best for paper,iml_lifecycle
PA171878,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171878.png,3,3,3,0,0,0.9,Perfect,10,Best for paper,iml_lifecycle
PA171869,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171869.png,1,1,1,0,0,0.88,Perfect,10,Best for paper,iml_lifecycle
PA171869,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171869.png,1,1,1,0,0,0.88,Perfect,10,Best for paper,iml_lifecycle
PA171995,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171995.png,2,2,2,0,0,0.892,Perfect,10,Best for paper,iml_lifecycle
PA171995,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171995.png,2,2,2,0,0,0.892,Perfect,10,Best for paper,iml_lifecycle
PA171996,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171996.png,1,1,1,0,0,0.903,Perfect,10,Best for paper,iml_lifecycle
PA171996,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171996.png,1,1,1,0,0,0.903,Perfect,10,Best for paper,iml_lifecycle
PA171990,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171990.png,3,3,3,0,0,0.9,Perfect,10,Best for paper,iml_lifecycle
PA171990,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171990.png,3,3,3,0,0,0.9,Perfect,10,Best for paper,iml_lifecycle
PA171698,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171698.png,3,3,3,0,0,0.773,Perfect,9,Best for paper,iml_lifecycle
PA171698,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171698.png,3,3,3,0,0,0.773,Perfect,9,Best for paper,iml_lifecycle
PA171899,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171899.png,2,2,2,0,0,0.663,Perfect,9,Best for paper,iml_lifecycle
PA171899,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171899.png,2,2,2,0,0,0.663,Perfect,9,Best for paper,iml_lifecycle
PA171926,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171926.png,1,1,1,0,0,0.708,Perfect,9,Best for paper,iml_lifecycle
PA171926,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171926.png,1,1,1,0,0,0.708,Perfect,9,Best for paper,iml_lifecycle
PA171693,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171693.png,2,2,2,0,0,0.774,Perfect,9,Best for paper,iml_lifecycle
PA171693,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171693.png,2,2,2,0,0,0.774,Perfect,9,Best for paper,iml_lifecycle
PA171931,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171931.png,2,1,1,0,1,0.9,Missing detections (FN),7,Good for paper,iml_lifecycle
PA171931,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171931.png,2,1,1,0,1,0.9,Missing detections (FN),7,Good for paper,iml_lifecycle
PA171831,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171831.png,3,2,2,0,1,0.886,Missing detections (FN),7,Good for paper,iml_lifecycle
PA171831,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171831.png,3,2,2,0,1,0.886,Missing detections (FN),7,Good for paper,iml_lifecycle
PA171751,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171751.png,3,3,2,1,1,0.889,Mixed (FP + FN),5,Challenging case,iml_lifecycle
PA171751,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171751.png,3,3,2,1,1,0.889,Mixed (FP + FN),5,Challenging case,iml_lifecycle
PA171824,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171824.png,1,0,0,0,1,0.0,Missing detections (FN),4,Not recommended,iml_lifecycle
PA171824,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171824.png,1,0,0,0,1,0.0,Missing detections (FN),4,Not recommended,iml_lifecycle
PA171699,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171699.png,2,0,0,0,2,0.0,Missing detections (FN),4,Not recommended,iml_lifecycle
PA171699,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171699.png,2,0,0,0,2,0.0,Missing detections (FN),4,Not recommended,iml_lifecycle
PA171934,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171934.png,1,0,0,0,1,0.0,Missing detections (FN),4,Not recommended,iml_lifecycle
PA171934,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171934.png,1,0,0,0,1,0.0,Missing detections (FN),4,Not recommended,iml_lifecycle
PA171722,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171722.png,2,3,2,1,0,0.809,False positives (FP),3,Not recommended,iml_lifecycle
PA171722,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171722.png,2,3,2,1,0,0.809,False positives (FP),3,Not recommended,iml_lifecycle
PA171697,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171697.png,3,4,3,1,0,0.783,False positives (FP),3,Not recommended,iml_lifecycle
PA171697,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171697.png,3,4,3,1,0,0.783,False positives (FP),3,Not recommended,iml_lifecycle
PA171721,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171721.png,2,3,2,1,0,0.675,False positives (FP),3,Not recommended,iml_lifecycle
PA171721,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171721.png,2,3,2,1,0,0.675,False positives (FP),3,Not recommended,iml_lifecycle
PA171855,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171855.png,1,2,1,1,0,0.888,False positives (FP),3,Not recommended,iml_lifecycle
PA171855,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171855.png,1,2,1,1,0,0.888,False positives (FP),3,Not recommended,iml_lifecycle
PA171854,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171854.png,1,2,1,1,0,0.861,False positives (FP),3,Not recommended,iml_lifecycle
PA171854,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171854.png,1,2,1,1,0,0.861,False positives (FP),3,Not recommended,iml_lifecycle
PA171826,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171826.png,1,2,1,1,0,0.892,False positives (FP),3,Not recommended,iml_lifecycle
PA171826,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171826.png,1,2,1,1,0,0.892,False positives (FP),3,Not recommended,iml_lifecycle
PA171825,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171825.png,1,2,1,1,0,0.694,False positives (FP),3,Not recommended,iml_lifecycle
PA171825,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171825.png,1,2,1,1,0,0.694,False positives (FP),3,Not recommended,iml_lifecycle
PA171823,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171823.png,1,2,1,1,0,0.886,False positives (FP),3,Not recommended,iml_lifecycle
PA171823,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171823.png,1,2,1,1,0,0.886,False positives (FP),3,Not recommended,iml_lifecycle
PA171742,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171742.png,3,4,3,1,0,0.877,False positives (FP),3,Not recommended,iml_lifecycle
PA171742,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171742.png,3,4,3,1,0,0.877,False positives (FP),3,Not recommended,iml_lifecycle
PA171771,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171771.png,3,4,3,1,0,0.789,False positives (FP),3,Not recommended,iml_lifecycle
PA171771,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171771.png,3,4,3,1,0,0.789,False positives (FP),3,Not recommended,iml_lifecycle
PA171785,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171785.png,1,4,1,3,0,0.867,False positives (FP),3,Not recommended,iml_lifecycle
PA171785,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171785.png,1,4,1,3,0,0.867,False positives (FP),3,Not recommended,iml_lifecycle
PA171913,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171913.png,1,2,1,1,0,0.847,False positives (FP),3,Not recommended,iml_lifecycle
PA171913,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171913.png,1,2,1,1,0,0.847,False positives (FP),3,Not recommended,iml_lifecycle
PA171876,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171876.png,1,2,1,1,0,0.828,False positives (FP),3,Not recommended,iml_lifecycle
PA171876,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171876.png,1,2,1,1,0,0.828,False positives (FP),3,Not recommended,iml_lifecycle
PA171962,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171962.png,1,2,1,1,0,0.903,False positives (FP),3,Not recommended,iml_lifecycle
PA171962,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171962.png,1,2,1,1,0,0.903,False positives (FP),3,Not recommended,iml_lifecycle
PA171972,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171972.png,1,2,1,1,0,0.891,False positives (FP),3,Not recommended,iml_lifecycle
PA171972,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171972.png,1,2,1,1,0,0.891,False positives (FP),3,Not recommended,iml_lifecycle
PA171987,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171987.png,1,2,1,1,0,0.908,False positives (FP),3,Not recommended,iml_lifecycle
PA171987,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA171987.png,1,2,1,1,0,0.908,False positives (FP),3,Not recommended,iml_lifecycle
PA172004,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172004.png,2,4,2,2,0,0.748,False positives (FP),3,Not recommended,iml_lifecycle
PA172004,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172004.png,2,4,2,2,0,0.748,False positives (FP),3,Not recommended,iml_lifecycle
PA172021,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172021.png,2,3,2,1,0,0.885,False positives (FP),3,Not recommended,iml_lifecycle
PA172021,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172021.png,2,3,2,1,0,0.885,False positives (FP),3,Not recommended,iml_lifecycle
PA172030,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172030.png,2,4,2,2,0,0.867,False positives (FP),3,Not recommended,iml_lifecycle
PA172030,results\optA_20251207_233941\experiments\experiment_iml_lifecycle\visualizations\pred_detection_yolo11\PA172030.png,2,4,2,2,0,0.867,False positives (FP),3,Not recommended,iml_lifecycle
1401080976-0002-T,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1401080976-0002-T.png,1,1,1,0,0,0.882,Perfect,10,Best for paper,mp_idb_species
1401080976-0002-T,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1401080976-0002-T.png,1,1,1,0,0,0.882,Perfect,10,Best for paper,mp_idb_species
1401063467-0013-T,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1401063467-0013-T.png,1,1,1,0,0,0.85,Perfect,10,Best for paper,mp_idb_species
1401063467-0013-T,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1401063467-0013-T.png,1,1,1,0,0,0.85,Perfect,10,Best for paper,mp_idb_species
1707180816-0005-T,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1707180816-0005-T.png,1,1,1,0,0,0.858,Perfect,10,Best for paper,mp_idb_species
1707180816-0005-T,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1707180816-0005-T.png,1,1,1,0,0,0.858,Perfect,10,Best for paper,mp_idb_species
1707180816-0007-T,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1707180816-0007-T.png,1,1,1,0,0,0.858,Perfect,10,Best for paper,mp_idb_species
1707180816-0007-T,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1707180816-0007-T.png,1,1,1,0,0,0.858,Perfect,10,Best for paper,mp_idb_species
1707180816-0019-S,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1707180816-0019-S.png,1,1,1,0,0,0.824,Perfect,10,Best for paper,mp_idb_species
1707180816-0019-S,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1707180816-0019-S.png,1,1,1,0,0,0.824,Perfect,10,Best for paper,mp_idb_species
1709041080-0037-S,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1709041080-0037-S.png,1,1,1,0,0,0.828,Perfect,10,Best for paper,mp_idb_species
1709041080-0037-S,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1709041080-0037-S.png,1,1,1,0,0,0.828,Perfect,10,Best for paper,mp_idb_species
1708161076-0007-R,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1708161076-0007-R.png,1,1,1,0,0,0.838,Perfect,10,Best for paper,mp_idb_species
1708161076-0007-R,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1708161076-0007-R.png,1,1,1,0,0,0.838,Perfect,10,Best for paper,mp_idb_species
1708161076-0001-R,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1708161076-0001-R.png,1,1,1,0,0,0.845,Perfect,10,Best for paper,mp_idb_species
1708161076-0001-R,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1708161076-0001-R.png,1,1,1,0,0,0.845,Perfect,10,Best for paper,mp_idb_species
1703121298-0008-G,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1703121298-0008-G.png,1,1,1,0,0,0.87,Perfect,10,Best for paper,mp_idb_species
1703121298-0008-G,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1703121298-0008-G.png,1,1,1,0,0,0.87,Perfect,10,Best for paper,mp_idb_species
1401080976-0004-T,results\optA_20251207_233941\experiments\experiment_mp_idb_species\visualizations\pred_detection_yolo11\1401080976-0004-T.png,1,1,1,0,0,0.814,Perfect,10,Best for paper,mp_idb_species
